f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
CeENR,RIO6sh9MtFd0,gJx,uX,a4hkHRSsRHGgo,UY53kTJ,uU4iHYbpkm,Q7K7vCM1Cs5h1,wO8E4ILN801wFFJ9lj4w,FMFap1JIcCK58
YZy6i,tDVUPXmkotuY,RrB,RA,GSDo528E3E2vZ,WuLAoz0,MRpcopCDcv,MnAwUfZKipfJ0,6W4gn7gJgJ5dF0XSIIjk,oO0OyubCKmG5c
vXHsX,4EmQjR9PyYew,Rtv,vp,oTUOe0dcd3PDN,1b43OjF,7YqcF4zJBh,aLr9RabIYFSJn,CZm4vE2vR5fp2l7bpfZ8,otdBKyEajvMxz
mEsyQ,ITshEIUfNZhh,dTH,pJ,UNy2PahEUwPSe,2PUeGdu,XR2FPnDQO7,h9f8YbuwM4vCP,xkMkIElTFykChX3vNO8z,IQCX3iXItk9MC
0Sr8U,hv2W6uYIRm5b,3cD,6r,FKT2omkEKrxjd,axLPakL,3GVWPTw7oy,JSyXSzIZ4RLF1,BGsxZ3J3QmYFeSMbZawh,7fC1fhl4kDMUh
2v85C,MfdzFyTCOuGL,708,Cb,fol8SAnHPPtSf,qwU6Sf3,AHbzIoaMsq,hwjjgVDtxQEpx,amYPWHVdjo4Nlb5t9ZgC,DI8iyNoexJbUk
pkxC1,YaoIKXpZcv60,oJ7,zG,dTNyFBDK97ZPo,gJ8terU,B0QDbqVw51,qlTpAkDQP8x1y,2WsYIFZ7apeWINvgm3aR,Is83oVJoSjVAW
HUzGc,xCE35BE6hdqM,QOc,Of,ERkEsBzBclpyt,wD7ecSk,HRFBi3oOrY,blvOSlGX9twDc,UgrS5EiW3DbwlD8segC2,7wQf6T6V7QZ9N
Ne0cL,PmWLaIDDeP7q,utS,qt,DLCAfEsRIJm7u,Zfwv9au,XVGdfLIfkP,TN9fmNwCZfjey,vgW0E6RaOVhT2XexloWi,foBGdkK3ZfXFu
rH3BB,BgkQ2ejzj9SR,PaG,cM,nF5wswriYiwJV,ntXMZNX,8LoiEoIOnf,1Gnp7YUZwPl45,NY4lGS3L8B9EHcki27rL,pw7SvMTGXxuti
